collectioncode,site,year,BumbleBeeSpecies,Abundance,Sex,FlowerName,FlowerGenus,Flowerspecies,Flowerfamily,FlowerCommonName,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3
2022SpringLakeAugust25,SpringLake,2022,vagans,3,female,Physotegia virginiana,Physotegia,virginiana,,,,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,vagans,3,female,Solidago canadensis,Solidago,canadensis,,,,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,vagans,1,female,Physotegia virginiana,Physotegia,virginiana,,,,,,,,x,,
2022SpringLakeAugust25,SpringLake,2022,vagans,1,female,Solidago canadensis,Solidago,canadensis,,,,,,,,x,,
2022SpringLakeAugust9,SpringLake,2022,vagans,1,female,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,,mon fis,,,,,,,
2022SpringLakeSeptember12,SpringLake,2022,vagans,2,male,Solidago speciosa,Solidago,speciosa,Asteraceae,,,,,,,x,,
2023RitterJuly7,Ritter,2023,impatiens,18,female,Sorbaria sorbifolia,Sorbaria,sorbifolia,,,,,,,,,,
2023RitterJuly7,Ritter,2023,impatiens,5,female,Cirsium arvense,Cirsium,arvense,,,,,,,,,,
2023RitterJuly7,Ritter,2023,impatiens,1,male,Cirsium arvense,Cirsium,arvense,,,,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,8,female,Sorbaria sorbifolia,Sorbaria,sorbifolia,,,,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,1,female,Pycnanthemum virginianum,Pycnanthemum,virginianum,,,Mt mint,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,1,female,Agastache foeniculum,Agastache,foeniculum,,,,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,5,female,Cirsium arvense,Cirsium,arvense,,,,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,5,male,Sorbaria sorbifolia,Sorbaria,sorbifolia,,,,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,3,male,Monarda fistulosa,Monarda,fistulosa,Lamiaceae,,Mon fis,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,2,male,Nepeta sp.,Nepeta,sp.,,,catmint,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,1,male,Agastache foeniculum,Agastache,foeniculum,,,,,,,,,,
2023RitterJuly7,Ritter,2023,bimaculatus,4,male,Cirsium arvense,Cirsium,arvense,,,,,,,,,,
