collectioncode,site,year,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,plantgenus_cleaned,plantspecies_cleaned,plantgenusspecies_cleaned
2023SpringLakeJuly7,Spring_Lake_Park,2023,griseocollis,2,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeJuly7,Spring_Lake_Park,2023,griseocollis,9,female,Desmodium,canadense,,,Desmodium,canadense,Desmodium_canadense
2023SpringLakeJuly7,Spring_Lake_Park,2023,griseocollis,3,female,Dalea,purpurea,,,Dalea,purpurea,Dalea_purpurea
2023SpringLakeJuly7,Spring_Lake_Park,2023,griseocollis,2,female,Dalea,candida,,,Dalea,candida,Dalea_candida
2023SpringLakeJuly7,Spring_Lake_Park,2023,griseocollis,1,female,Vicia,villosa,,,Vicia,villosa,Vicia_villosa
2023SpringLakeJuly7,Spring_Lake_Park,2023,griseocollis,4,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeJuly7,Spring_Lake_Park,2023,griseocollis,1,male,Dalea,purpurea,,,Dalea,purpurea,Dalea_purpurea
2023SpringLakeJuly7,Spring_Lake_Park,2023,auricomus,45,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeJuly7,Spring_Lake_Park,2023,auricomus,12,female,Desmoidum,canadense,,,Desmodium,canadense,Desmodium_canadense
2023SpringLakeJuly7,Spring_Lake_Park,2023,auricomus,4,female,Baptisa,alba,,Baptisa white,Baptisia,alba,Baptisia_alba
2023SpringLakeJuly7,Spring_Lake_Park,2023,auricomus,3,female,Dalea,purpurea,,,Dalea,purpurea,Dalea_purpurea
2023SpringLakeJuly7,Spring_Lake_Park,2023,auricomus,3,female,Dalea,candida,,,Dalea,candida,Dalea_candida
2023SpringLakeJuly7,Spring_Lake_Park,2023,auricomus,1,female,Vicia,villosa,,,Vicia,villosa,Vicia_villosa
2023SpringLakeJuly7,Spring_Lake_Park,2023,auricomus,1,female,Veronicastrum,virginicum,,culver's root,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeJuly7,Spring_Lake_Park,2023,vagans,1,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeJuly7,Spring_Lake_Park,2023,vagans,1,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeJuly7,Spring_Lake_Park,2023,vagans,1,male,Dalea,purpurea,,,Dalea,purpurea,Dalea_purpurea
2023SpringLakeJuly7,Spring_Lake_Park,2023,rufocinctus,1,female,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust4,Ritter_Farm,2023,impatiens,67,female,Pycnanthemum,virginianum,,Mt mint,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust4,Ritter_Farm,2023,impatiens,13,female,Monarda,fistulosa,,Mon fist,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust4,Ritter_Farm,2023,impatiens,7,female,Veronicastrum,virginicum,,Culver's root,Veronicastrum,virginicum,Veronicastrum_virginicum
2023RitterAugust4,Ritter_Farm,2023,impatiens,3,female,Echinacea,purpurea,,Ech pur,Echinacea,purpurea,Echinacea_purpurea
2023RitterAugust4,Ritter_Farm,2023,impatiens,1,female,Eryngium,yuccifolium,,rattlesnake master,Eryngium,yuccifolium,Eryngium_yuccifolium
2023RitterAugust4,Ritter_Farm,2023,impatiens,1,female,Ratibida,pinnata,,Rat pin,Ratibida,pinnata,Ratibida_pinnata
2023RitterAugust4,Ritter_Farm,2023,impatiens,2,female,Verbena,stricta,,Ver stri,Verbena,stricta,Verbena_stricta
2023RitterAugust4,Ritter_Farm,2023,impatiens,1,male,Monarda ,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust4,Ritter_Farm,2023,impatiens,1,male,Ratibida ,pinnata,,,Ratibida,pinnata,Ratibida_pinnata
2023RitterAugust4,Ritter_Farm,2023,impatiens,1,male,Verbena,stricta,,,Verbena,stricta,Verbena_stricta
2023RitterAugust4,Ritter_Farm,2023,bimaculatus,4,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust4,Ritter_Farm,2023,bimaculatus,2,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust4,Ritter_Farm,2023,griseocollis,8,male,Echinacea ,purpurea,,,Echinacea,purpurea,Echinacea_purpurea
2023RitterAugust4,Ritter_Farm,2023,griseocollis,2,male,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust4,Ritter_Farm,2023,griseocollis,18,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust4,Ritter_Farm,2023,griseocollis,5,male,Ratibida,pinnata,,,Ratibida,pinnata,Ratibida_pinnata
2023RitterAugust4,Ritter_Farm,2023,griseocollis,2,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust4,Ritter_Farm,2023,auricomus,1,female,Ratibida,pinnata,,,Ratibida,pinnata,Ratibida_pinnata
2023RitterAugust4,Ritter_Farm,2023,auricomus,22,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
